title,foundtitle,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,age
13 Dead End Drive,13 Dead End Drive,2,4,45,45,45,9
221b Baker Street,221B Baker Street Expansion Pack,2,6,,,,
7Wonders,NOT_FOUND,,,,,,
Abandon All Artichokes,Abandon All Artichokes,2,4,20,20,20,10
Betrayal at House on the Hill,Betrayal at House on the Hill,3,6,60,60,60,12
Bing-oh!,Bing-Oh!,2,6,15,15,15,
Chrononauts,Chrononauts,1,6,30,30,30,11
Claim (4 versions),NOT_FOUND,,,,,,
Clank!,Clank! Adventuring Party: Lightning Reflexes Promo Card,2,6,120,60,120,13
Flamecraft,Flamecraft,1,5,60,60,60,10
Flinch,Flinch,1,8,20,20,20,7
Flip City,Flip City,1,4,50,30,50,8
In the Footsteps of Marie Curie,In the Footsteps of Marie Curie,2,4,30,20,30,10
Old Maid,Old Maid,2,6,5,5,5,4
On the Dot,On the Dot,2,4,5,5,5,10
One Night Werewolf,One Night Werewolf,3,7,10,10,10,10
RoboChamp,NOT_FOUND,,,,,,
Squirmish,Squirmish,2,4,60,20,60,10
Steampunk Rally Fusion,Steampunk Rally Fusion,2,8,60,45,60,14
Stipulations,Stipulations,4,99,45,30,45,13
Turing Machine,Turing Machine,1,4,20,20,20,14
Tutti Quantum,Tutti Quantum,2,4,15,15,15,8
Zigity,Cranium Zigity,2,99,10,10,10,8
